RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00002595	SAMN02787881	GTEX-1122O-0526-SM-5N9DM
RES00002528	SAMN02788804	GTEX-1122O-0626-SM-5N9B9
RES00002596	SAMN02790643	GTEX-1122O-0726-SM-5GIEV
RES00002597	SAMN02790349	GTEX-1122O-0826-SM-5GICV
RES00002529	SAMN11825404	GTEX-1122O-0926-SM-9YFLC
RES00002534	SAMN11830009	GTEX-1122O-1026-SM-9WYSF
RES00002598	SAMN02793800	GTEX-1122O-1126-SM-5NQ8X
RES00002533	SAMN02791362	GTEX-1122O-1226-SM-5H113
RES00002599	SAMN02787688	GTEX-1122O-1326-SM-5H11F
RES00002600	SAMN02791254	GTEX-1122O-1426-SM-5H11R
RES00002601	SAMN02793647	GTEX-1122O-1526-SM-5N9CL
RES00002602	SAMN02792065	GTEX-1122O-1626-SM-5N9CX
RES00002603	SAMN02791703	GTEX-1122O-1726-SM-5GICM
RES00002604	SAMN02790743	GTEX-1122O-1826-SM-5EGIP
RES00002605	SAMN02791976	GTEX-1122O-1926-SM-5EGIQ
RES00002524	SAMN11824901	GTEX-1122O-2026-SM-9YFMG
RES00002606	SAMN02790649	GTEX-1122O-2126-SM-5EGIR
RES00002526	SAMN11828061	GTEX-1122O-2326-SM-9YFL9
RES00002525	SAMN02790721	GTEX-1122O-2426-SM-5GIDN
RES00002522	SAMN02792585	GTEX-1128S-0005-SM-5P9HI
RES00002591	SAMN02792992	GTEX-1128S-0008-SM-5Q5DP
RES00002593	SAMN02792853	GTEX-1128S-0126-SM-5H12S
RES00002598	SAMN02787901	GTEX-1128S-0326-SM-5GZZF
RES00002592	SAMN02788921	GTEX-1128S-0726-SM-5N9D6
RES00002596	SAMN02792064	GTEX-1128S-0826-SM-5GZZI
RES00002529	SAMN02789262	GTEX-1128S-0926-SM-5GZZU
RES00002601	SAMN02791869	GTEX-1128S-1626-SM-5H12O
RES00002524	SAMN02790850	GTEX-1128S-2126-SM-5H12U
RES00002606	SAMN02792667	GTEX-1128S-2326-SM-5GZZY
RES00002525	SAMN02793191	GTEX-1128S-2426-SM-5H11B
RES00002526	SAMN02792831	GTEX-1128S-2526-SM-5H11N
RES00002607	SAMN02788496	GTEX-1128S-2626-SM-5H11Z
RES00002536	SAMN02787750	GTEX-1128S-2726-SM-5H12C
RES00002608	SAMN02792039	GTEX-1128S-2826-SM-5N9DI
RES00002558	SAMN02793445	GTEX-113IC-0006-SM-5NQ9C
RES00002577	SAMN02793426	GTEX-113IC-0008-SM-5QGRF
RES00002560	SAMN02791167	GTEX-113IC-0126-SM-5HL6T
RES00002561	SAMN02790807	GTEX-113IC-0226-SM-5HL5C
RES00002563	SAMN02787749	GTEX-113IC-0426-SM-5HL5O
RES00002564	SAMN02793020	GTEX-113IC-0526-SM-5HL76
RES00002609	SAMN02789261	GTEX-113JC-0006-SM-5O997
RES00002610	SAMN02791426	GTEX-113JC-0008-SM-5QGR6
RES00002611	SAMN02789255	GTEX-113JC-0126-SM-5EGJW
RES00002612	SAMN02793234	GTEX-113JC-0726-SM-5GZZR
RES00002613	SAMN02789662	GTEX-113JC-0926-SM-5H114
RES00002614	SAMN02793598	GTEX-113JC-1026-SM-5H117
RES00002615	SAMN02792496	GTEX-113JC-1926-SM-5N9GE
RES00002616	SAMN02791972	GTEX-113JC-2226-SM-5EGJG
RES00002617	SAMN02789075	GTEX-113JC-2326-SM-5EQ4E
