RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00001697	SAMD00021570	12853-137C9
RES00001698	SAMD00021418	12658-134I3
RES00001698	SAMD00021494	12756-136B2
RES00001698	SAMD00021571	12854-137D1
RES00001699	SAMD00021419	12659-134I4
RES00001699	SAMD00021495	12757-136B3
RES00001699	SAMD00021572	12855-137D2
RES00001700	SAMD00021420	12660-134I5
RES00001700	SAMD00021496	12758-136B4
RES00001700	SAMD00021573	12856-137D3
RES00001701	SAMD00021421	12661-134I6
RES00001701	SAMD00021497	12759-136B5
RES00001701	SAMD00021574	12857-137D4
RES00001702	SAMD00005763	11500-119F6
RES00001702	SAMD00004917	11580-120F5
RES00001702	SAMD00004940	11661-122F5
RES00001703	SAMD00004792	11235-116D2
RES00001703	SAMD00005749	11316-117D2
RES00001703	SAMD00005736	11392-118C6
RES00001704	SAMD00005328	10821-111C2
RES00001704	SAMD00005657	10822-111C3
RES00001704	SAMD00004741	10823-111C4
RES00001705	SAMD00005439	12241-129G9
RES00001705	SAMD00004913	12242-129H1
RES00001705	SAMD00005610	12243-129H2
RES00001706	SAMD00005270	11511-119G8
RES00001706	SAMD00005405	11591-120G7
RES00001706	SAMD00005212	11672-122G7
RES00001706	SAMD00005472	11453-119A4
RES00001706	SAMD00005796	11457-119A8
RES00001706	SAMD00005825	11461-119B3
RES00001706	SAMD00005364	11769-123I5
RES00001707	SAMD00004763	10422-106C8
RES00001708	SAMD00005827	10476-106I8
RES00001709	SAMD00005606	12224-129F1
RES00001710	SAMD00004782	12223-129E9
RES00001711	SAMD00005512	11224-116B9
RES00001711	SAMD00005394	11305-117B9
RES00001711	SAMD00005539	11381-118B4
RES00001712	SAMD00005343	11229-116C5
RES00001712	SAMD00004810	11310-117C5
RES00001712	SAMD00004934	11386-118B9
RES00001713	SAMD00004949	11863-125A9
RES00001713	SAMD00005767	11873-125C1
RES00001713	SAMD00004822	11883-125D2
RES00001714	SAMD00005846	11869-125B6
RES00001714	SAMD00004841	11879-125C7
RES00001714	SAMD00005156	11889-125D8
RES00001715	SAMD00004938	11860-125A6
RES00001715	SAMD00004743	11870-125B7
RES00001715	SAMD00005081	11880-125C8
RES00001716	SAMD00005942	11868-125B5
RES00001716	SAMD00005082	11878-125C6
RES00001716	SAMD00005146	11888-125D7
RES00001717	SAMD00005251	11867-125B4
RES00001717	SAMD00004834	11877-125C5
RES00001717	SAMD00005991	11887-125D6
RES00001718	SAMD00005955	11864-125B1
RES00001718	SAMD00005380	11874-125C2
RES00001718	SAMD00004883	11884-125D3
RES00001719	SAMD00005739	11861-125A7
RES00001719	SAMD00005047	11871-125B8
RES00001719	SAMD00005007	11881-125C9
RES00001720	SAMD00005560	11866-125B3
RES00001720	SAMD00004857	11876-125C4
RES00001720	SAMD00005948	11886-125D5
RES00001721	SAMD00004744	11862-125A8
RES00001721	SAMD00005981	11872-125B9
RES00001721	SAMD00005810	11882-125D1
RES00001722	SAMD00004927	11865-125B2
RES00001722	SAMD00006012	11875-125C3
RES00001722	SAMD00004980	11885-125D4
RES00001723	SAMD00005543	11789-124B7
RES00001723	SAMD00005678	11801-124D1
RES00001723	SAMD00005092	11912-125G4
RES00001724	SAMD00005516	11788-124B6
RES00001724	SAMD00004679	11799-124C8
RES00001724	SAMD00004844	11910-125G2
RES00001725	SAMD00005226	11790-124B8
RES00001725	SAMD00005837	11800-124C9
RES00001725	SAMD00005535	11911-125G3
RES00001726	SAMD00005661	12189-129B2
RES00001726	SAMD00005696	12194-129B7
RES00001726	SAMD00005684	12199-129C3
RES00001726	SAMD00005465	12151-128F9
RES00001726	SAMD00005718	12174-128I5
RES00001726	SAMD00005213	12204-129C8
RES00001726	SAMD00005768	12209-129D4
RES00001726	SAMD00004750	12214-129D9
RES00001727	SAMD00005397	11544-120B5
RES00001727	SAMD00005602	11624-122B4
RES00001727	SAMD00004926	11705-123B4
RES00001728	SAMD00005033	11931-125I5
RES00001728	SAMD00004861	11932-125I6
RES00001729	SAMD00005368	11545-120B6
RES00001729	SAMD00005630	11625-122B5
RES00001730	SAMD00005703	12225-129F2
RES00001730	SAMD00005703	12225-129F2
RES00001731	SAMD00005494	11225-116C1
RES00001731	SAMD00005976	11306-117C1
RES00001731	SAMD00005947	11382-118B5
RES00001732	SAMD00004706	11793-124C2
RES00001732	SAMD00003167	11915-125G7
RES00001732	SAMD00003165	11919-125H2
RES00001733	SAMD00005426	11780-124A7
RES00001733	SAMD00005102	11796-124C5
RES00001733	SAMD00005314	11907-125F8
RES00001734	SAMD00005636	11794-124C3
RES00001734	SAMD00005387	11916-125G8
RES00001734	SAMD00004761	11920-125H3
RES00001735	SAMD00005031	11782-124A9
RES00001735	SAMD00005355	11797-124C6
RES00001735	SAMD00005127	11908-125F9
